Create worker:26129,-1 restart 17 00:16:26
worker:5050exited,-1 restart 11 00:24:11
Create worker:28670,-1 restart 11 00:24:11
worker:26129exited,-1 restart 17 00:24:56
Create worker:28842,-1 restart 17 00:24:56
worker:11710exited,-1 restart 3 00:25:20
Create worker:28962,-1 restart 3 00:25:20
worker:7577exited,-1 restart 5 00:25:47
Create worker:29068,-1 restart 5 00:25:47
worker:5815exited,-1 restart 16 00:26:19
Create worker:29199,-1 restart 16 00:26:19
worker:414exited,-1 restart 2 00:34:47
Create worker:31663,-1 restart 2 00:34:47
worker:21614exited,-1 restart 13 00:39:46
Create worker:660,-1 restart 13 00:39:46
worker:16175exited,-1 restart 14 00:43:44
Create worker:1836,-1 restart 14 00:43:44
worker:8202exited,-1 restart 8 00:47:01
Create worker:2915,-1 restart 8 00:47:01
worker:7384exited,-1 restart 15 00:47:22
Create worker:3012,-1 restart 15 00:47:22
worker:31663exited,-1 restart 2 00:56:45
Create worker:5906,-1 restart 2 00:56:45
worker:28962exited,-1 restart 3 00:57:55
Create worker:6350,-1 restart 3 00:57:55
worker:660exited,-1 restart 13 01:00:27
Create worker:7098,-1 restart 13 01:00:27
worker:6350exited,-1 restart 3 01:03:09
Create worker:8029,-1 restart 3 01:03:09
worker:6248exited,-1 restart 9 01:05:27
Create worker:8784,-1 restart 9 01:05:27
worker:10837exited,-1 restart 7 01:10:41
Create worker:10490,-1 restart 7 01:10:41
worker:7023exited,-1 restart 4 01:14:18
Create worker:11694,-1 restart 4 01:14:18
worker:12118exited,-1 restart 6 01:15:54
Create worker:12087,-1 restart 6 01:15:54
worker:6062exited,-1 restart 19 01:19:22
Create worker:12994,-1 restart 19 01:19:22
worker:21258exited,-1 restart 18 01:22:14
Create worker:13823,-1 restart 18 01:22:14
worker:12087exited,-1 restart 6 01:25:57
Create worker:14941,-1 restart 6 01:25:57
worker:5906exited,-1 restart 2 01:29:23
Create worker:16017,-1 restart 2 01:29:23
worker:28670exited,-1 restart 11 01:31:07
Create worker:16488,-1 restart 11 01:31:07
worker:29068exited,-1 restart 5 01:34:20
Create worker:17443,-1 restart 5 01:34:20
worker:15181exited,-1 restart 10 01:34:21
Create worker:17459,-1 restart 10 01:34:21
worker:29199exited,-1 restart 16 01:34:38
Create worker:17506,-1 restart 16 01:34:38
worker:12994exited,-1 restart 19 01:37:30
Create worker:18352,-1 restart 19 01:37:30
worker:17459exited,-1 restart 10 01:49:22
Create worker:22130,-1 restart 10 01:49:22
worker:16488exited,-1 restart 11 01:51:58
Create worker:22828,-1 restart 11 01:51:58
worker:14941exited,-1 restart 6 01:53:14
Create worker:23149,-1 restart 6 01:53:14
worker:1836exited,-1 restart 14 01:53:49
Create worker:23307,-1 restart 14 01:53:49
worker:22130exited,-1 restart 10 01:55:44
Create worker:23849,-1 restart 10 01:55:44
worker:16202exited,-1 restart 12 01:56:03
Create worker:23937,-1 restart 12 01:56:03
worker:2915exited,-1 restart 8 01:58:13
Create worker:24489,-1 restart 8 01:58:13
worker:13823exited,-1 restart 18 02:10:59
Create worker:28507,-1 restart 18 02:10:59
worker:23149exited,-1 restart 6 02:12:58
Create worker:29140,-1 restart 6 02:12:58
worker:21557exited,-1 restart 1 02:21:17
Create worker:31679,-1 restart 1 02:21:17
worker:11694exited,-1 restart 4 02:30:04
Create worker:1964,-1 restart 4 02:30:04
worker:23307exited,-1 restart 14 02:30:16
Create worker:1992,-1 restart 14 02:30:16
worker:16017exited,-1 restart 2 02:38:40
Create worker:4485,-1 restart 2 02:38:40
worker:8784exited,-1 restart 9 02:43:51
Create worker:6047,-1 restart 9 02:43:51
worker:29140exited,-1 restart 6 02:52:40
Create worker:8896,-1 restart 6 02:52:40
worker:7098exited,-1 restart 13 03:04:41
Create worker:12519,-1 restart 13 03:04:41
worker:24489exited,-1 restart 8 03:06:58
Create worker:13162,-1 restart 8 03:06:58
worker:6047exited,-1 restart 9 03:18:21
Create worker:16713,-1 restart 9 03:18:21
worker:22828exited,-1 restart 11 03:23:47
Create worker:18195,-1 restart 11 03:23:47
worker:10490exited,-1 restart 7 03:31:28
